Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
1090084,Die Geschwister Oppermann,Lion Feuchtwanger,"Feuchtwanger, Lion",,"=""3746656079""","=""9783746656076""",0,Aufbau Taschenbuch,Paperback,381,2008,1933,,2025/05/07,,,read,,,,1,0
1196845,Das Foucaultsche Pendel,Umberto Eco,"Eco, Umberto",,"=""""","=""""",0,Deutscher Taschbuch-Verlag,Paperback,848,,1988,,2025/03/16,,,read,,,,1,0
57792078,"The Every (The Circle, #2)",Dave Eggers,"Eggers, Dave",,"=""0593315340""","=""9780593315347""",0,Vintage,Paperback,580,2021,2021,,2025/03/10,,,read,,,,1,0
836230,Der Prozess,Franz Kafka,"Kafka, Franz",,"=""""","=""""",0,Anaconda,Hardcover,208,2006,1925,,2025/02/25,,,read,,,,1,0
1509432,Der Untertan,Heinrich Mann,"Mann, Heinrich",,"=""3596136407""","=""9783596136407""",0,Fischer-Taschenbuch-Verlag,Paperback,494,1997,1918,,2025/02/21,,,read,,,,1,0
1031285,Die G̦ttliche Kom̦die,Dante Alighieri,"Alighieri, Dante","Hermann Gmelin, Rudolf Baehr","=""3150007968""","=""9783150007969""",0,Reclam,Paperback,565,1996,1320,2025/02/21,2025/01/28,,,read,,,,1,0
329336,Zero: The Biography of a Dangerous Idea,Charles Seife,"Seife, Charles",,"=""0140296476""","=""9780140296471""",0,Penguin,Paperback,248,2000,2000,,2025/01/28,,,read,,,,1,0
647492,Ordinary Men: Reserve Police Battalion 101 and the Final Solution in Poland,Christopher R. Browning,"Browning, Christopher R.",,"=""0060995068""","=""9780060995065""",0,Harper Perennial,Paperback,271,1998,1992,,2025/01/28,,,read,,,,1,0
61215384,"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""""","=""""",0,William Morrow,Kindle Edition,432,2022,1955,,2025/01/28,,,read,,,,1,0
61215372,"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""""","=""""",0,William Morrow,Kindle Edition,448,2022,1954,,2025/01/28,,,read,,,,1,0
61215351,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""""","=""""",0,William Morrow,Kindle Edition,432,2022,1954,,2025/01/28,,,read,,,,1,0
5907,"The Hobbit, or There and Back Again",J.R.R. Tolkien,"Tolkien, J.R.R.","Douglas A. Anderson, Michael Hague, Jemima Catlin","=""""","=""""",0,Houghton Mifflin,Paperback,366,2002,1937,,2025/01/28,,,read,,,,1,0
1016722,Schachnovelle,Stefan Zweig,"Zweig, Stefan",,"=""""","=""""",0,Fischer,Paperback,112,1987,1942,,2025/01/28,,,read,,,,1,0
24611623,In Order to Live: A North Korean Girl's Journey to Freedom,Yeonmi Park,"Park, Yeonmi",Maryanne Vollers,"=""1594206791""","=""9781594206795""",0,Penguin Press,Hardcover,273,2015,2015,,2025/01/28,,,read,,,,1,0
36377471,Les Miserables,Victor Hugo,"Hugo, Victor",Isabel Florence Hapgood,"=""0486822184""","=""9780486822181""",0,Dover Publications,Paperback,1376,2018,1862,,2025/01/28,,,read,,,,1,0
2623,Great Expectations,Charles Dickens,"Dickens, Charles","Kate Flint, Margaret Cardwell","=""0192833596""","=""9780192833594""",0,Oxford University Press,Paperback,544,1998,1861,,2025/01/28,,,read,,,,1,0
4934,The Brothers Karamazov,Fyodor Dostoevsky,"Dostoevsky, Fyodor","Richard Pevear, Larissa Volokhonsky","=""0374528373""","=""9780374528379""",0,"Farrar, Straus and Giroux",Paperback,796,2002,1879,,2025/01/28,,,read,,,,1,0
23079,Der Name der Rose,Umberto Eco,"Eco, Umberto",Burkhart Kroeber,"=""""","=""""",0,Deutscher Taschenbuch Verlag,Paperback,657,1986,1980,,2025/01/28,,,read,,,,1,0
56916837,To Kill a Mockingbird,Harper Lee,"Lee, Harper",,"=""""","=""""",0,Harper Perennial Modern Classics,Paperback,323,2021,1960,,2025/01/28,,,read,,,,1,0
170448,Animal Farm,George Orwell,"Orwell, George","Russell Baker, C.M. Woodhouse","=""0451526341""","=""9780451526342""",0,Signet Classics,Mass Market Paperback,141,1996,1945,,2025/01/28,,,read,,,,1,0
61439040,1984,George Orwell,"Orwell, George",Thomas Pynchon,"=""0452284236""","=""9780452284234""",0,Plume,Paperback,368,2022,1949,,2025/01/28,,,read,,,,1,0
